Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Enr,7,3,4,
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,App,6,,,
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,Adm,4,,,
BETHEL CHRISTIAN HIGH SCHOOL52668,BETHEL CHRISTIAN HIGH SCHOOL,Riverside,Riverside,App,10,5,5,
BETHEL CHRISTIAN HIGH SCHOOL52668,BETHEL CHRISTIAN HIGH SCHOOL,Riverside,Riverside,Adm,6,3,3,
BETHEL CHRISTIAN HIGH SCHOOL52668,BETHEL CHRISTIAN HIGH SCHOOL,Riverside,Riverside,Enr,3,,,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,133,59,73,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,72,34,38,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Enr,33,17,16,
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,131,79,52,
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,60,37,23,
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,33,21,12,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,App,34,34,,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Adm,17,17,,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Enr,10,10,,
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,App,22,12,9,
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,Adm,13,9,4,
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,Enr,3,,,
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,110,78,32,
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,64,46,18,
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Enr,35,26,9,
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,App,31,,31,
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Adm,14,,14,
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Enr,6,,6,
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,184,103,80,
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,125,77,47,
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Enr,52,29,23,
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,App,74,42,31,
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,Adm,50,27,22,
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,Enr,18,9,9,
BLOOMINGTON CHRISTIAN HS50347,BLOOMINGTON CHRISTIAN HS,Bloomington,San Bernardino,App,9,6,,
BLOOMINGTON CHRISTIAN HS50347,BLOOMINGTON CHRISTIAN HS,Bloomington,San Bernardino,Adm,5,3,,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,App,15,8,7,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Adm,6,4,,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Enr,4,3,,
