Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,Adm,31,13,18,
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,Enr,11,5,6,
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,24,13,11,
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Adm,13,8,5,
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Enr,4,,3,
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,App,7,,5,
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,Adm,3,,,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,App,5,,,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,Adm,4,4,,
BETHEL CHRISTIAN HIGH SCHOOL51378,BETHEL CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,App,7,,,
BETHEL CHRISTIAN HIGH SCHOOL51378,BETHEL CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,Adm,6,,4,
BETHEL CHRISTIAN HIGH SCHOOL51378,BETHEL CHRISTIAN HIGH SCHOOL,Lancaster,Los Angeles,Enr,3,,,
BIG VALLEY CHRISTIAN HS52021,BIG VALLEY CHRISTIAN HS,Modesto,Stanislaus,App,8,5,,
BIG VALLEY CHRISTIAN HS52021,BIG VALLEY CHRISTIAN HS,Modesto,Stanislaus,Adm,3,,,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,141,72,68,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,74,39,34,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Enr,41,22,19,
