Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
ADRIAN C WILCOX HIGH SCHOOL53276,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Enr,68,31,37,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,App,185,108,76,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Adm,115,70,44,
AGOURA HIGH SCHOOL50003,AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,Enr,63,36,26,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,App,66,43,23,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,Adm,27,17,10,
ALAIN LEROY LOCKE COLLEGE PREP54367,ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,Enr,11,7,4,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,App,25,14,11,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Adm,21,13,8,
ALAMEDA COMMUNITY LEARNING CTR50011,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Enr,11,6,5,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,App,210,111,97,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Adm,161,88,72,
ALAMEDA HIGH SCHOOL50005,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Enr,107,57,50,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,App,38,19,19,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Adm,26,14,12,
ALAMEDA SCIENCE & TECHLGY INST50029,ALAMEDA SCIENCE & TECHLGY INST,Alameda,Alameda,Enr,19,11,8,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,App,142,75,67,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Adm,102,54,48,
ALBANY HIGH SCHOOL50035,ALBANY HIGH SCHOOL,Albany,Alameda,Enr,57,32,25,
ALBERT EINSTEIN LETTER ART SCI54493,ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,App,27,10,17,
ALBERT EINSTEIN LETTER ART SCI54493,ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,Adm,23,7,16,
ALBERT EINSTEIN LETTER ART SCI54493,ALBERT EINSTEIN LETTER ART SCI,Agua Dulce,Los Angeles,Enr,19,4,15,
