Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,Enr,11,7,4
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,28,13,14
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Adm,17,8,8
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Enr,5,3,
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,App,13,5,8
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,Adm,6,,4
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,Enr,3,,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,App,5,,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,Adm,3,3,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,Enr,3,3,
BETHEL CHRISTIAN HIGH SCHOOL52668,BETHEL CHRISTIAN HIGH SCHOOL,Riverside,Riverside,App,6,,
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,130,58,71
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,81,37,44
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Enr,40,19,21
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,112,70,42
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,52,34,18
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,34,22,12
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,App,42,42,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Adm,19,19,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Enr,13,13,
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,App,25,9,16
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,Adm,12,3,9
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,136,70,64
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Adm,82,42,39
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,Enr,46,24,22
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,App,29,,28
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Adm,10,,10
BISHOP MORA SALESIAN HS51554,BISHOP MORA SALESIAN HS,Los Angeles,Los Angeles,Enr,5,,5
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,App,196,102,93
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Adm,136,75,61
BISHOP ODOWD HIGH SCHOOL52185,BISHOP ODOWD HIGH SCHOOL,Oakland,Alameda,Enr,64,31,33
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,App,80,43,36
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,Adm,51,28,23
BISHOPS SCHOOL51330,BISHOPS SCHOOL,La Jolla,San Diego,Enr,16,10,6
BLOOMINGTON CHRISTIAN HS50347,BLOOMINGTON CHRISTIAN HS,Bloomington,San Bernardino,App,6,5,
BLOOMINGTON CHRISTIAN HS50347,BLOOMINGTON CHRISTIAN HS,Bloomington,San Bernardino,Adm,3,3,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,App,16,12,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Adm,10,8,
BRADSHAW CHRISTIAN SCHOOL53877,BRADSHAW CHRISTIAN SCHOOL,Sacramento,Sacramento,Enr,3,3,
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,App,41,19,22
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Adm,23,10,13
BRANSON SCHOOL52695,BRANSON SCHOOL,Ross,Marin,Enr,5,,3
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,App,67,30,37
BRENTWOOD SCHOOL51555,BRENTWOOD SCHOOL,Los Angeles,Los Angeles,Adm,40,20,20
